,Title,Year,Duration,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,stars,genres,wins,nominations,oscars,genres_count
361,Fargo,1996,98.0,8.1,748000.0,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,7000000.0,60611975.0,24611975.0,730265.0,Frances McDormand,Thriller,84,58,2,1725
362,Fargo,1996,98.0,8.1,748000.0,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,7000000.0,60611975.0,24611975.0,730265.0,Steve Buscemi,Thriller,84,58,2,1725
363,Stand by Me,1986,89.0,8.1,459000.0,A writer recounts a childhood journey with his friends to find the body of a missing boy.,8000000.0,53522503.0,52287414.0,242795.0,Wil Wheaton,Adventure,6,12,1,1755
364,Stand by Me,1986,89.0,8.1,459000.0,A writer recounts a childhood journey with his friends to find the body of a missing boy.,8000000.0,53522503.0,52287414.0,242795.0,River Phoenix,Adventure,6,12,1,1755
365,Stand by Me,1986,89.0,8.1,459000.0,A writer recounts a childhood journey with his friends to find the body of a missing boy.,8000000.0,53522503.0,52287414.0,242795.0,Corey Feldman,Adventure,6,12,1,1755
366,The Big Lebowski,1998,117.0,8.1,883000.0,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",15000000.0,48254463.0,19488923.0,5533844.0,Jeff Bridges,Thriller,5,18,0,1725
367,The Big Lebowski,1998,117.0,8.1,883000.0,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",15000000.0,48254463.0,19488923.0,5533844.0,John Goodman,Thriller,5,18,0,1725
368,The Big Lebowski,1998,117.0,8.1,883000.0,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",15000000.0,48254463.0,19488923.0,5533844.0,Julianne Moore,Thriller,5,18,0,1725
369,Blade Runner,1982,117.0,8.1,847000.0,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,28000000.0,41759489.0,32914489.0,6150002.0,Harrison Ford,Action,13,22,2,4080
370,Blade Runner,1982,117.0,8.1,847000.0,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,28000000.0,41759489.0,32914489.0,6150002.0,Rutger Hauer,Action,13,22,2,4080
371,Blade Runner,1982,117.0,8.1,847000.0,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,28000000.0,41759489.0,32914489.0,6150002.0,Sean Young,Action,13,22,2,4080
372,Hotel Rwanda,2004,121.0,8.1,381000.0,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",17500000.0,33882243.0,23530892.0,100091.0,Don Cheadle,Drama,16,49,3,1470
373,Hotel Rwanda,2004,121.0,8.1,381000.0,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",17500000.0,33882243.0,23530892.0,100091.0,Sophie Okonedo,Drama,16,49,3,1470
374,Hotel Rwanda,2004,121.0,8.1,381000.0,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",17500000.0,33882243.0,23530892.0,100091.0,Joaquin Phoenix,Drama,16,49,3,1470
