,Title,Year,Duration,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,stars,genres,wins,nominations,oscars,genres_count
23,Deva,2025,156.0,7.8,18000.0,A brilliant yet rebellious police officer uncovers a web of deceit and betrayal while investigating a high-profile case.,500000000.0,957798.0,2339255.0,2339255.0,Kubbra Sait,Action,0,0,0,63
24,Identity,2025,157.0,7.8,7000.0,"A sketch artist and a cop work together to unravel the identity of an elusive killer using the descriptions of his face, etched into the memory of an eye-witness to the brutal crime.",25500000.0,435906.0,2339255.0,2339255.0,Tovino Thomas,Action,0,0,0,63
25,Identity,2025,157.0,7.8,7000.0,"A sketch artist and a cop work together to unravel the identity of an elusive killer using the descriptions of his face, etched into the memory of an eye-witness to the brutal crime.",25500000.0,435906.0,2339255.0,2339255.0,Trisha Krishnan,Action,0,0,0,63
26,Identity,2025,157.0,7.8,7000.0,"A sketch artist and a cop work together to unravel the identity of an elusive killer using the descriptions of his face, etched into the memory of an eye-witness to the brutal crime.",25500000.0,435906.0,2339255.0,2339255.0,Vinay Rai,Action,0,0,0,63
27,Sky Force,2025,125.0,7.5,8100.0,"Skyforce unravels a gripping tale inspired by true events from one of the deadliest air strikes between India and Pakistan. A hero lost, a comrade's quest for truth-an epic tribute to bravery, sacrifice, and unbreakable courage.",25500000.0,305368.0,2339255.0,2339255.0,Akshay Kumar,Action,0,0,0,63
28,Sky Force,2025,125.0,7.5,8100.0,"Skyforce unravels a gripping tale inspired by true events from one of the deadliest air strikes between India and Pakistan. A hero lost, a comrade's quest for truth-an epic tribute to bravery, sacrifice, and unbreakable courage.",25500000.0,305368.0,2339255.0,2339255.0,Veer Pahariya,Action,0,0,0,63
29,Sky Force,2025,125.0,7.5,8100.0,"Skyforce unravels a gripping tale inspired by true events from one of the deadliest air strikes between India and Pakistan. A hero lost, a comrade's quest for truth-an epic tribute to bravery, sacrifice, and unbreakable courage.",25500000.0,305368.0,2339255.0,2339255.0,Nimrat Kaur,Action,0,0,0,63
30,Together,2025,96.0,7.4,73.0,"A couple's move to the countryside triggers a supernatural incident that drastically alters their relationship, existence, and physical form.",25500000.0,977709.0,2339255.0,2339255.0,Alison Brie,Horror,0,0,0,12
31,Together,2025,96.0,7.4,73.0,"A couple's move to the countryside triggers a supernatural incident that drastically alters their relationship, existence, and physical form.",25500000.0,977709.0,2339255.0,2339255.0,Dave Franco,Horror,0,0,0,12
32,Together,2025,96.0,7.4,73.0,"A couple's move to the countryside triggers a supernatural incident that drastically alters their relationship, existence, and physical form.",25500000.0,977709.0,2339255.0,2339255.0,Damon Herriman,Horror,0,0,0,12
33,Fateh,2025,127.0,7.4,17000.0,"Follows a former gangster who is hired to guard a young woman named Khushi. In order to keep her safe, Fateh must employ all of his abilities while simultaneously attempting to learn the truth about the threats made against her.",250000000.0,101332.0,2339255.0,2339255.0,Sonu Sood,Action,0,0,0,63
34,Fateh,2025,127.0,7.4,17000.0,"Follows a former gangster who is hired to guard a young woman named Khushi. In order to keep her safe, Fateh must employ all of his abilities while simultaneously attempting to learn the truth about the threats made against her.",250000000.0,101332.0,2339255.0,2339255.0,Jacqueline Fernandez,Action,0,0,0,63
